text,index,review_action,target
The present paper proposes a fast approximation to the softmax computation when the number of classes is very large.,,arg_structuring,0
This is typically a bottleneck in deep learning architectures.,,arg_structuring,0
The approximation is a sparse two-layer mixture of experts.,,arg_structuring,0
"The paper lacks rigor and the writing is of low quality, both in its clarity and its grammar.",,arg_evaluative,0
See a list of typos below.,,arg_structuring,0
"An example of lack of mathematical rigor is equation 4 in which the same variable name is used to describe the weights before and after pruning, as if it was computer code instead of an equation.",,arg_evaluative,0
"Also pervasive is the use of the asterisk to denote multiplication, again as if it was code and not math.",,arg_evaluative,0
"Algorithm 1 does not include mitosis, which may have an effect on the resulting approximation.",,arg_evaluative,0
"How are the lambda and threshold parameters tuned? The authors mention a validation set, are they just exhaustively explored on a 3D grid on the validation set?",,arg_request,1
"The results only compare with Shim et al. Why only this method? Why would it be expected to be faster than all the other alternatives? Wouldn't similar alternatives like the sparsely gated MoE, D-softmax and adaptive-softmax have chances of being faster?",,arg_request,1
"The column ""FLOPS"" in the result seems to measure the speedup, whereas the actual FLOPS should be less when the speed increases.",,arg_evaluative,0
"Also, a ""1x"" label seems to be missing in for the full softmax, so that the reference is clearly specified.",,arg_evaluative,0
"All in all, the results show that the proposed method provides a significant speedup with respect to Shim et al., but it lacks comparison with other methods in the literature.",,arg_evaluative,0
A brief list of typos:,,arg_structuring,0
"""Sparse Mixture of Sparse of Sparse Experts""",,arg_request,1
"""if we only search right answer""",,arg_request,1
"""it might also like appear""",,arg_request,1
"""which is to design to choose the right""",,arg_request,1
sparsly,,arg_request,1
"""will only consists partial""",,arg_request,1
"""with γ is a lasso threshold""",,arg_request,1
"""an arbitrarily distance function""",,arg_request,1
"""each 10 sub classes are belonged to one""",,arg_request,1
"""is also needed to tune to achieve""",,arg_request,1
"This paper presents a method for adapting a model that has been trained to perform one task, so that it can perform a new task (potentially without using any new training data at all—i.e., zero-shot learning).",,arg_structuring,0
In some ways the presented work is a form of meta-learning or *meta-mapping* as the authors refer to it.,,arg_structuring,0
The premise of the paper is very interesting and the overall problem is definitely of high interest and high potential impact.,,arg_evaluative,0
I believe that the presentation of the proposed method can be significantly improved.,,arg_request,1
The method description was a bit confusing and unclear to me.,,arg_evaluative,0
The experimental results presented were all done on small synthetic datasets and it’s hard to evaluate whether the method is practically useful.,,arg_evaluative,0
"Furthermore, no comparisons were provided to any baselines/alternative methods.",,arg_evaluative,0
"For example, in Sections 4 and 5 I was hoping to see comparisons to methods like MAML.",,arg_request,1
"Also, I felt that the proposed approach in Section 5 is very similar to MAML intuitively. This makes a comparison with MAML even more desirable.",,arg_request,1
Without any comparisons it’s hard to tell how difficult the tasks under consideration are and what would amount to good performance on the held-out tasks.,,arg_evaluative,0
"In summary, I feel the paper tackles an interesting problem with an interesting approach, but the content could be organized much better.",,arg_evaluative,0
"Also, this work would benefit significantly from a better experimental evaluation.",,arg_request,1
"For these reasons I lean towards rejecting this paper for now, but would love to see it refined for a future machine learning conference.",,arg_social,0
"Also, the work by Platanios, et al. on contextual parameter generation is very relevant to this work as it tackles multi-task learning using HyperNetworks.",,arg_fact,0
It may be worth adding a short discussion/comparison to that work as it also considers zero-shot learning.,,arg_request,1
Minor comments:,,arg_structuring,0
"- Capitalize: “section” -> “Section”, “appendix” -> “Appendix”, “fig.” -> “Figure”.",,arg_request,1
"Sometimes these are capitalized, but the use is inconsistent throughout the paper.",,arg_evaluative,0
- “Hold-out” vs “held-out”,,arg_request,1
.,,none,0
Be consistent and use “held-out” throughout.,,arg_request,1
"The paper shows that Bayesian neural networks, trained with Dropout MC (Gal et al.) struggle to fully capture the posterior distribution of the weights.",,arg_structuring,0
This leads to over-confident predictions which is problematic particularly in an active learning scenario.,,arg_structuring,0
"To prevent this behavior, the paper proposes to combine multiple Bayesian neural networks, independently trained with Dropout MC, to an ensemble.",,arg_structuring,0
The proposed method achieves better uncertainty estimates than a single Bayesian neural networks model and improves upon the baseline in an active learning setting for image classification.,,arg_structuring,0
"The paper addresses active deep learning which is certainly an interesting research direction since in practice, labeled data is notoriously scarce.",,arg_evaluative,0
"However, the paper contains only little novelty and does not provide sufficiently new scientific insights.",,arg_evaluative,0
It is well known from the literature that combining multiply neural networks to an ensemble leads to better performance and uncertainty estimates.,,arg_fact,0
"For instance, Lakshminarayanan et al.[1] showed that Dropout MC can produce overconfident wrong prediction and, by simply averaging prediction over multiple models, one achieves better performance and confidence scores.",,arg_fact,0
"Also, Huand et al. [2] showed that by taking different snapshots of the same network at different timesteps performance improves.",,arg_fact,0
"It would also be great if the paper could related to other existing work that uses Bayesian neural networks in an active learning setting such as Bayesian optimization [3, 4] or Bandits[5].",,arg_request,1
Another weakness of the paper is that the empirical evaluation is not sufficiently rigorous:,,arg_evaluative,0
"1) Besides an comparison to the work by Lakshminarayanan et. al, I would also like to have seen a comparison to other existing Bayesian neural network approaches such as stochastic gradient Markov-Chain Monte-Carlo methods.",,arg_request,1
"2) To provide a better understanding of the paper, it would also be interesting to see how sensitive it is with respect to the ensemble size M.",,arg_request,1
"3) Furthermore, for the experiments only one neural network architecture was considered and it remains an open question, how the presented results translate to other architectures.",,arg_evaluative,0
"The same holds for the type of data, since the paper only shows results for image classification benchmarks.",,arg_evaluative,0
"4) Figure 3: Are the results averaged over multiple independent runs? If so, how many runs did you perform and could you also report confidence intervals? Since all methods are close to each other, it is hard to estimate how significant the difference is.",,arg_request,1
[1] Simple and Scalable Predictive Uncertainty Estimation using Deep Ensembles,,arg_other,0
"Balaji Lakshminarayanan, Alexander Pritzel, Charles Blundel",,none,0
NIPS 2017,,none,0
[2] Gao Huang and Yixuan Li and Geoff Pleiss and Zhuang Liu and John E. Hopcroft and Kilian Q. Weinberger,,arg_other,0
"Snapshot Ensembles: Train 1, get {M} for free}",,none,0
ICLR 2017,,none,0
[3] Bayesian Optimization with Robust Bayesian Neural Networks,,arg_other,0
J. Springenberg and A. Klein and S.Falkner and F. Hutter,,none,0
NIPS 2016,,none,0
[4] J. Snoek and O. Rippel and K. Swersky and R. Kiros and N. Satish and N. Sundaram and M. Patwary and Prabhat and R. Adams,,arg_other,0
Scalable Bayesian Optimization Using Deep Neural Networks,,none,0
ICML 2015,,none,0
[5] Deep Bayesian Bandits Showdown: An Empirical Comparison of Bayesian Deep Networks for Thompson Sampling,,arg_other,0
"Carlos Riquelme, George Tucker, Jasper Snoek",,none,0
ICLR 2018,,none,0
This paper proposes an approach for mitigating issues associated with high-frequency/amplitude control signals that may be obtained when one applies reinforcement learning algorithms to continuous control tasks.,,arg_structuring,0
"The approach taken by the paper is to solve a constrained optimization problem, where the constraint imposes a (potentially state-dependent) lower bound on the reward.",,arg_structuring,0
This is done by using a Lagrangian relaxation that learns the parameters of a control policy that satisfies the desired constraints (and also learns the Lagrange multipliers).,,arg_structuring,0
The presented approach is demonstrated on a cart-pole swing-up task as well as a quadruped locomotion task.,,arg_structuring,0
Strengths:,,arg_structuring,0
+ The paper is generally clear and readable.,,arg_evaluative,0
+ The simulation results for the Minitaur quadruped robot are performed using a realistic model of the robot.,,arg_evaluative,0
Major concern:,,arg_structuring,0
- My biggest concern is that the technical contributions of the paper are not clear at all.,,arg_evaluative,0
"The motivation for the work (avoiding high amplitude/frequency control inputs) is certainly now new; this has always been a concern of control theorists and roboticists (e.g., when considering minimum-time optimal control problems, or control schemes such as sliding mode control).",,arg_evaluative,0
The idea of using a constrained formulation is not novel either (constrained MDPs have been thoroughly studied since Altman (1999)).,,arg_evaluative,0
"The technical approach of using a Lagrangian relaxation is the standard way one goes about handling constrained optimization problems, and thus I do not see any novelty there either.",,arg_evaluative,0
"Overall, the paper does not make a compelling case for the novelty of the problem or approach.",,arg_evaluative,0
Other concerns:,,arg_structuring,0
"- For the cart-pole task, the paper states that the reward is modified ""to exclude any cost objective"".",,arg_fact,0
Results are then presented for this modified reward showing that it results in high-frequency control signals (and that the proposed constrained approach avoids this).,,arg_fact,0
I don't think this is really a fair comparison; I would have liked to have seen results for the unmodified reward function.,,arg_evaluative,0
- The claim made in the first line of the abstract (applying RL algorithms to continuous control problems often leads to bang-bang control),,arg_evaluative,0
is very broad and should be watered down.,,none,0
This is the case only when one considers a poorly-designed cost function that doesn't take into account realistic factors such as actuator limits.,,none,0
