aspect,theme,descs,attitude+theme
asp_substance,DAT_EXP,"Lack of realistic datasets used in experiments (small siz, synthetic)",asp_substance(DAT_EXP)
asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)",asp_replicability(MET)
asp_substance,MET_EXP,More variations of experiments needs to be added,asp_substance(MET_EXP)
asp_clarity,RES,"Improper explanation of results (as in advantages, why are results better, etc)",asp_clarity(RES)
asp_soundness-correctness,DAT,claims on the datasets is questionable,asp_soundness-correctness(DAT)
asp_substance,MET_DAT,Lack of discussion of performance of method on different datasets,asp_substance(MET_DAT)
arg_other,OAL,"Reasons for rejection (not fit for conference, contains several weaknesses, etc.)",arg_other(OAL)
asp_clarity,RWK,"Improper writing of realted work section (as in 1 paragraph rather than multiple for related work, explanation of somepapers, etc)",asp_clarity(RWK)
asp_substance,RWK,Limited improvement over baselines,asp_substance(RWK)
asp_substance,ANA_EXP,"The advantage of this random encoding was to reduce the number of parameters for an embedding layer, but the results showed we gained much PPL from a 25% reduction in embedding size (Table 1).",asp_substance(ANA_EXP)
asp_clarity,ANA,Lack of discussion of analysis,asp_clarity(ANA)
asp_soundness-correctness,RES,"correctness of results presented is questionable(eg., metrics, complexity, etc)",asp_soundness-correctness(RES)
asp_originality,BIB,Suggest missing related work,asp_originality(BIB)
asp_soundness-correctness,ANA,Too strong assumptions in analysis,asp_soundness-correctness(ANA)
asp_substance,MET_TNF,Incorrect claims about performance in tables and figures,asp_substance(MET_TNF)
asp_substance,ANA,Lack of analysis,asp_substance(ANA)
asp_motivation-impact,MET,Limited insights based on design choices,asp_motivation-impact(MET)
asp_soundness-correctness,DAT_EXP,Limited generalizability of claims on other datasets,asp_soundness-correctness(DAT_EXP)
asp_originality,EXP,Not enough novelty in experiments (seems similar to previous work),asp_originality(EXP)
asp_clarity,OAL,3. The paper is not nicely written or rather easy to follow.,asp_clarity(OAL)
asp_replicability,DAT,Lacking details on datasets,asp_replicability(DAT)
asp_clarity,TNF,"Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)",asp_clarity(TNF)
asp_meaningful-comparison,ANA,More experiments needed with related work,asp_meaningful-comparison(ANA)
asp_soundness-correctness,RWK_RES,* The differences between UNIT (GAN; C-po) and UNIT (MMD; C-po) in Table 1 seem very small and I'm not convinced that they are significant. Why does the MMD version constitute an improvement? Or is it simply more stable to train?,asp_soundness-correctness(RWK_RES)
asp_originality,RWK,Incremental novelty of method as compared to related work,asp_originality(RWK)
asp_substance,MET_ANA,Lack of analysis of proposed method,asp_substance(MET_ANA)
asp_soundness-correctness,MET_DAT,generalizability of method on datasets created from different distributions is questionable,asp_soundness-correctness(MET_DAT)
asp_replicability,TNF,"Missing details in tables and figures (how some value as calculated in fig, some notation missing in fig, etc)",asp_replicability(TNF)
asp_meaningful-comparison,RES,More comparisons needed with variations of the proposed method,asp_meaningful-comparison(RES)
asp_meaningful-comparison,TNF,Missing explanation of comparsion with related work in tables and figures,asp_meaningful-comparison(TNF)
asp_clarity,MET_RWK,"Unclear connection of method with related work (description of the related work it is based on, why earlier methods fail, etc)",asp_clarity(MET_RWK)
asp_originality,DAT,"In terms of applicability, it seems that many cases where discrete latent variables would be really interesting are not covered (e.g. sigmoid belief networks); the paper demonstrates experiments with discrete images (binary or 4-bit) not particularly motivated in my opinion.",asp_originality(DAT)
arg_other,BIB,Missing citations in the paper,arg_other(BIB)
asp_motivation-impact,PDI,Limited contribution in problem definition,asp_motivation-impact(PDI)
asp_motivation-impact,EXP,Missing explanation of utility of proposed method,asp_motivation-impact(EXP)
asp_soundness-correctness,INT,"Incorrect claims in introduction (confusing related work presented in intro, wrong claims)",asp_soundness-correctness(INT)
asp_meaningful-comparison,EXP,More experiments needed with related work,asp_meaningful-comparison(EXP)
asp_soundness-correctness,MET_RWK,incorrect claims for related work,asp_soundness-correctness(MET_RWK)
asp_substance,DAT,Less datasets used,asp_substance(DAT)
asp_originality,MET_RWK,"Not much novelty in methodology (previous works already studied these methods, similar motiation of methodology)",asp_originality(MET_RWK)
asp_soundness-correctness,RES_EXP,correctness of experiments is questionable,asp_soundness-correctness(RES_EXP)
asp_clarity,RES_TNF,Improper presentation of results in tables and figures,asp_clarity(RES_TNF)
asp_soundness-correctness,MET_RES,Incorrect explanation of resuts,asp_soundness-correctness(MET_RES)
asp_soundness-correctness,PDI,"While better than most of the baseline methods, the N^2 memory/computational complexity is not bad, but still too high to scale to very large graphs.",asp_soundness-correctness(PDI)
asp_replicability,RWK,Missing implementation details of related work used as baselines,asp_replicability(RWK)
arg_other,MET,Theoretical misunderstanding in methodology,arg_other(MET)
asp_originality,OAL,"Overall not original enough (primary claim, limited evaluation, limited novelty)",asp_originality(OAL)
asp_clarity,EXP,"Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)",asp_clarity(EXP)
asp_originality,MET,Limited novelty in theoretical contribution,asp_originality(MET)
asp_substance,MET,Incomplete details on perfromance of the method,asp_substance(MET)
asp_substance,RES_TNF,"The advantage of this random encoding was to reduce the number of parameters for an embedding layer, but the results showed we gained much PPL from a 25% reduction in embedding size (Table 1).",asp_substance(RES_TNF)
asp_clarity,BIB,Incorrect citation styles,asp_clarity(BIB)
asp_motivation-impact,MET_RES,"While this is a new and interesting task, the contribution (as discussed above in “pros” above) is somewhat limited.",asp_motivation-impact(MET_RES)
asp_replicability,EXP,"Lack of experimental details (no of images, sampling criteria, etc)",asp_replicability(EXP)
asp_substance,MET_RWK,Improper comparison of related work in terms of implementation,asp_substance(MET_RWK)
asp_soundness-correctness,MET_EXP,"Concerns regarding correctness of methods (assumption, budget, etc)",asp_soundness-correctness(MET_EXP)
asp_meaningful-comparison,MET_EXP,Lack of comparison with related works,asp_meaningful-comparison(MET_EXP)
asp_motivation-impact,RWK,Limited novelty as compared to related work,asp_motivation-impact(RWK)
asp_replicability,RES,Missing details for reproducibility of result,asp_replicability(RES)
asp_clarity,MET,Unclear description of method,asp_clarity(MET)
asp_substance,MET_RES,"Generalizability of results in terms of method parameters (only applies for some number of parameters, only for these type of matrices, etc)",asp_substance(MET_RES)
asp_substance,OAL,Lacking clarity overall (needs better presentation),asp_substance(OAL)
asp_replicability,MET_DAT,"Missing ablation study (how to generalize findings, what happens if some changes are done to the method, etc)",asp_replicability(MET_DAT)
asp_meaningful-comparison,MET_RWK,Incorrect baselines used,asp_meaningful-comparison(MET_RWK)
asp_substance,INT,"5) Last but not least, convergence analysis of the proposed method should be provided given that asynchrony may lead to divergence in the optimization.",asp_substance(INT)
asp_meaningful-comparison,RWK_EXP,Missing theoretical comparisons,asp_meaningful-comparison(RWK_EXP)
asp_substance,EXP,Experimental study not strong enough,asp_substance(EXP)
asp_soundness-correctness,RWK,Incorrect assumptions as compared to related work,asp_soundness-correctness(RWK)
asp_originality,RES,Not enough originality in results (not surprising),asp_originality(RES)
asp_substance,RES,generalizability of results is questionable,asp_substance(RES)
asp_meaningful-comparison,RES_EXP,Missing interpretation of results due to missing related work,asp_meaningful-comparison(RES_EXP)
asp_soundness-correctness,MET,Correctness of algorithm proposed is questionable,asp_soundness-correctness(MET)
asp_meaningful-comparison,MET,Missing theoretical comparisons,asp_meaningful-comparison(MET)
asp_soundness-correctness,TNF,Incomplete ablation in terms of tables and figures,asp_soundness-correctness(TNF)
asp_replicability,MET_EXP,"Because of this concern, I believe the results in the paper can only really characterize the learning close to convergence, since the network is already able to provide correct classification.",asp_replicability(MET_EXP)
asp_motivation-impact,RES,Limited impact of results,asp_motivation-impact(RES)
asp_replicability,OAL,"Because of this concern, I believe the results in the paper can only really characterize the learning close to convergence, since the network is already able to provide correct classification.",asp_replicability(OAL)
asp_substance,MET_DAT_EXP,Lack of ablation on different datasets/ sizes,asp_substance(MET_DAT_EXP)
asp_substance,RES_EXP,Need more experimental results,asp_substance(RES_EXP)
asp_substance,RWK_EXP,Lack of experiments,asp_substance(RWK_EXP)
