reviews	paper_sections	rebuttal_accept-praise	rebuttal_answer	rebuttal_by-cr	rebuttal_concede-criticism	rebuttal_contradict-assertion	rebuttal_done	rebuttal_followup	rebuttal_future	rebuttal_mitigate-criticism	rebuttal_other	rebuttal_refute-question	rebuttal_reject-criticism	rebuttal_social	rebuttal_structuring	rebuttal_summary
As mentioned earlier, the actual conclusion in Section 4.2 is that minimizing the KL-divergence between the parametric policy and the optimal policy by SGD will converge to the optimal policy, which is straightforward and is not what AlphaGo Zero does.	MET_RES	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	"We agree that there is a gap between AGZ and our model.
"	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	"It will be interesting to study how the error between MCTS and the optimal policy affects the iterative algorithm.
.This is a research direction we think is worth pursuing in the future.
"	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	"As mentioned in our paper, MCTS converges to the optimal policy for both classical MDPs and stochastic games.
.Hence in this paper, we model the AGZ’s MCTS policy by the optimal policy, and mainly focus on the other two key ingredients of AGZ, self-play and supervised learning.
"
This is actually a direct consequence of any minmax theorem in game theory; the authors decided to credit that result to Yao (I tend to *strongly* disagree with that point as, even if he stated this fact in CS, this result was quite standard several decades before him - anyway.).	MET_RES	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	"On calling it Yao’s Principle: as Reviewer #1 correctly noted, this is an application of the classic von Neumann minimax principle to the “game” between an “algorithm player” and an “input player”.
.We call it Yao’s principle primarily in accordance with tradition in theoretical CS (see https://en.wikipedia.org/wiki/Yao%27s_principle and also https://blog.computationalcomplexity.org/2006/10/favorite-theorems-yao-principle.html, where it is noted that “Yao observed [the result]” and commentators note that it’s called Yao’s principle because this observation has significant consequences for many central problems in TCS).
"	NOOOOOONNNNNEEEE	"We are happy to add text to reflect this.
"	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE
The abstract mentioned that the proposed algorithm works as an “implicit regularization leading to better classification accuracy than the original model which completely ignores privacy”. But I don’t see clearly from the experimental results how the accuracy compares to a non-private classifier.	MET_RES	NOOOOOONNNNNEEEE	"As shown in Figure 3, the utility of RAN’s Encoder output is higher than that of DNN.
.Here the DNN model stands for the non-private feature extractor followed by a non-private classifier.
"	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	"Response #4: We have added more explanations in Section 3.1 about how “the proposed algorithm works as an implicit regularization leading to better classification accuracy than the original model which completely ignores privacy”.
"	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE
"and rendering the third claim from the introduction (""We propose an new algorithm with the new metric which demonstrates better results than state-of-the-art algorithms."") completely untrue."	INT_MET	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	"2) For the experiment, we will train our experiments longer and modify our network.
"	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE
Although experiments show that learning such representations are beneficial for low-shot setting of SVHN, it is not clear whether such improvement generalizes to more realistic datasets such as ImageNet.	DAT_EXP	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE
Do you agree that for this reason, all the experiments on the synthetic dataset is flawed?	DAT_EXP	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	"Having said that, we agree with the reviewer that [Hartford et al. 18] probably cannot handle such tasks by construction. As we mentioned in our response to Reviewer1 we will change the wording of this section to better reflect that this is *not* a failure of Hartford et al. but merely a setting outside their scope due to a different assumption on the symmetry group of the data.
.If the reviewers feel strongly about this experiment, we are open to replace it with a discussion.
.--------------------------------------------------------------------------------------------------------------------------------
"	"A: Our goal in performing the synthetic experiments was to quantify the expressive power that is  gained by adding our basis elements to [Hartford et al. 18].
.We felt it is an informative experiment since [Hartford et al. 18] also discuss applying their model in the jointly exchangeable setting (page 3, second column, top paragraph).
"	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	"Q: ”Applying the model of Hartford et al. to problems where interacting sets are identical is similar to applying convolution layer to a feature vector that is not equivariant to translation... Do you agree that for this reason, all the experiments on the synthetic dataset is flawed?”
"	NOOOOOONNNNNEEEE
In the real world, one would not have access to OOD data during training, how is one to pick \lambda in such cases?	DAT_EXP	NOOOOOONNNNNEEEE	"(3) We observed that as \lambda increases, in the validation set, the uncertainty is increasing, while the accuracy is decreasing.
.So
., a simple heuristic that we use is to choose the highest \lambda that allow high validation accuracy (e.g. > 0.97 on MNIST).
"	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	"We found that this heuristic works very well in our experiments (the results have updated to reflect on this heuristic).
.We have made this procedure clear in the revised manuscript.
"	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE
The experiments were only done on simple image datasets.	DAT_EXP	NOOOOOONNNNNEEEE	"A: Our method is not specific to the image domain and there is no reason it could not be applied to other input types.
"	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	"In order to use our method, we only require a corpus of data with partially (at least two) labeled factors of variation and a corpus of data which is sparsely labeled for a downstream task.
.Critically, these two sources of data need not be identical!
.This means that an easy way to acquire a corpus with labeled factors of variation is to use a simulator to generate this data,  as we do in this study.
"	NOOOOOONNNNNEEEE	"The experiments were only done on simple image datasets.
"	NOOOOOONNNNNEEEE
This also becomes apparent in the experiments section, where rotational data augmentation is found to be necessary.	DAT_EXP	NOOOOOONNNNNEEEE	"(Q2) Equivariance property of the Alt-az convolution
.Q3: alt-az convolution is not well defined on the south pole
"	NOOOOOONNNNNEEEE	"A3: Yes, we agree that our original definition of alt-az convolution is not well defined on both north and south poles.
"	"Here is our tentative proof:
.Under the definition of alt-azimuth anisotropic convolution and using the unitary property (5) of rotation operators, we have (assume the number of channels K=1 for simplicity, assume Q and R be both alt-az rotations):
.\begin{equation}
.\begin{aligned}
.& (h \star D_{Q} f) (R)
.\\
.&
.= \int_{S^2}(D_Rh)(\hat{u})f(Q^{-1}\hat{u})ds(\hat{u}) \\
.&
.=\int_{S^2}h(R^{-1}\hat{u})f(Q^{-1}\hat{u})ds(\hat{u}) \\
.&
.=\int_{S^2}h(R^{-1}Q\hat{u})f(\hat{u})ds(\hat{u}) \\
.&
.=\int_{S^2}h((Q^{-1}R)^{-1}\hat{u})f(\hat{u})ds(\hat{u}) \\
.&
.=(h \star f)(Q^{-1}R) = D_{Q}( h \star f)(R)
.\end{aligned}
.\end{equation}
"	"Therefore, in the new revision, we will add the constraints to the definition of alt-az rotation and make it one-to-one corresponds to the set points on $S^2$. See A1.
"	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	"We think we can still have the equivariance property but only for single alt-az rotation.
.Notice the definition of alt-az convolution do not use any composite rotation.
"	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	"This means that for a single alt-az rotation of input spherical image; the output of a convolution layer will rotate in the same way.
.Although the property doesn’t hold if one performs multiple alt-az rotations to the input spherical image, it is still valuable because we assume the different SO(3) orientation of an input 3D shape is from a composite of an azimuthal rotation and an alt-az rotation, the azimuthal rotation is treated by data augmentation and the single alt-az rotation is treated by the network equivariance and invariance.
"	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE
This is also lacking from the description of the experimental protocol, which does not address the data-splits (how many classes were used for each) and size of the unlabelled test set.	DAT_EXP	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	"In light of the reviews, in the revised version, we have expanded the appendix to give more details on the experimental protocol.
"	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	"We did provide some details on the first version (in the appendix).
"	NOOOOOONNNNNEEEE	NOOOOOONNNNNEEEE	"Concern 2: Size of unlabelled test set, data-split information
"	NOOOOOONNNNNEEEE
