Descriptions,Attitude_roots
"Lack of realistic datasets used in experiments (small siz, synthetic)",Substance(DAT_EXP)
"Missing details on methodology (eg., use of notation, use on tasks, etc)",Replicability(MET)
More variations of experiments needs to be added,Substance(MET_EXP)
"Improper explanation of results (as in advantages, why are results better, etc)",Clarity(RES)
claims on the datasets is questionable,Soundness-correctness(DAT)
Lack of discussion of performance of method on different datasets,Substance(MET_DAT)
"Reasons for rejection (not fit for conference, contains several weaknesses, etc.)",Other(OAL)
"Improper writing of realted work section (as in 1 paragraph rather than multiple for related work, explanation of somepapers, etc)",Clarity(RWK)
Limited improvement over baselines,Substance(RWK)
"The advantage of this random encoding was to reduce the number of parameters for an embedding layer, but the results showed we gained much PPL from a 25% reduction in embedding size (Table 1).",Substance(ANA_EXP)
Lack of discussion of analysis,Clarity(ANA)
"correctness of results presented is questionable(eg., metrics, complexity, etc)",Soundness-correctness(RES)
Suggest missing related work,Originality(BIB)
Too strong assumptions in analysis,Soundness-correctness(ANA)
Incorrect claims about performance in tables and figures,Substance(MET_TNF)
Lack of analysis,Substance(ANA)
Limited insights based on design choices,Motivation-impact(MET)
Limited generalizability of claims on other datasets,Soundness-correctness(DAT_EXP)
Not enough novelty in experiments (seems similar to previous work),Originality(EXP)
3. The paper is not nicely written or rather easy to follow.,Clarity(OAL)
Lacking details on datasets,Replicability(DAT)
"Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)",Clarity(TNF)
More experiments needed with related work,Meaningful-comparison(ANA)
* The differences between UNIT (GAN; C-po) and UNIT (MMD; C-po) in Table 1 seem very small and I'm not convinced that they are significant. Why does the MMD version constitute an improvement? Or is it simply more stable to train?,Soundness-correctness(RWK_RES)
Incremental novelty of method as compared to related work,Originality(RWK)
Lack of analysis of proposed method,Substance(MET_ANA)
generalizability of method on datasets created from different distributions is questionable,Soundness-correctness(MET_DAT)
"Missing details in tables and figures (how some value as calculated in fig, some notation missing in fig, etc)",Replicability(TNF)
More comparisons needed with variations of the proposed method,Meaningful-comparison(RES)
Missing explanation of comparsion with related work in tables and figures,Meaningful-comparison(TNF)
"Unclear connection of method with related work (description of the related work it is based on, why earlier methods fail, etc)",Clarity(MET_RWK)
"In terms of applicability, it seems that many cases where discrete latent variables would be really interesting are not covered (e.g. sigmoid belief networks); the paper demonstrates experiments with discrete images (binary or 4-bit) not particularly motivated in my opinion.",Originality(DAT)
Missing citations in the paper,Other(BIB)
Limited contribution in problem definition,Motivation-impact(PDI)
Missing explanation of utility of proposed method,Motivation-impact(EXP)
"Incorrect claims in introduction (confusing related work presented in intro, wrong claims)",Soundness-correctness(INT)
More experiments needed with related work,Meaningful-comparison(EXP)
incorrect claims for related work,Soundness-correctness(MET_RWK)
Less datasets used,Substance(DAT)
"Not much novelty in methodology (previous works already studied these methods, similar motiation of methodology)",Originality(MET_RWK)
correctness of experiments is questionable,Soundness-correctness(RES_EXP)
Improper presentation of results in tables and figures,Clarity(RES_TNF)
Incorrect explanation of resuts,Soundness-correctness(MET_RES)
"While better than most of the baseline methods, the N^2 memory/computational complexity is not bad, but still too high to scale to very large graphs.",Soundness-correctness(PDI)
Missing implementation details of related work used as baselines,Replicability(RWK)
Theoretical misunderstanding in methodology,Other(MET)
"Overall not original enough (primary claim, limited evaluation, limited novelty)",Originality(OAL)
"Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)",Clarity(EXP)
Limited novelty in theoretical contribution,Originality(MET)
Incomplete details on perfromance of the method,Substance(MET)
"The advantage of this random encoding was to reduce the number of parameters for an embedding layer, but the results showed we gained much PPL from a 25% reduction in embedding size (Table 1).",Substance(RES_TNF)
Incorrect citation styles,Clarity(BIB)
"While this is a new and interesting task, the contribution (as discussed above in “pros” above) is somewhat limited.",Motivation-impact(MET_RES)
"Lack of experimental details (no of images, sampling criteria, etc)",Replicability(EXP)
Improper comparison of related work in terms of implementation,Substance(MET_RWK)
"Concerns regarding correctness of methods (assumption, budget, etc)",Soundness-correctness(MET_EXP)
Lack of comparison with related works,Meaningful-comparison(MET_EXP)
Limited novelty as compared to related work,Motivation-impact(RWK)
Missing details for reproducibility of result,Replicability(RES)
Unclear description of method,Clarity(MET)
"Generalizability of results in terms of method parameters (only applies for some number of parameters, only for these type of matrices, etc)",Substance(MET_RES)
Lacking clarity overall (needs better presentation),Substance(OAL)
"Missing ablation study (how to generalize findings, what happens if some changes are done to the method, etc)",Replicability(MET_DAT)
Incorrect baselines used,Meaningful-comparison(MET_RWK)
"5) Last but not least, convergence analysis of the proposed method should be provided given that asynchrony may lead to divergence in the optimization.",Substance(INT)
Missing theoretical comparisons,Meaningful-comparison(RWK_EXP)
Experimental study not strong enough,Substance(EXP)
Incorrect assumptions as compared to related work,Soundness-correctness(RWK)
Not enough originality in results (not surprising),Originality(RES)
generalizability of results is questionable,Substance(RES)
Missing interpretation of results due to missing related work,Meaningful-comparison(RES_EXP)
Correctness of algorithm proposed is questionable,Soundness-correctness(MET)
Missing theoretical comparisons,Meaningful-comparison(MET)
Incomplete ablation in terms of tables and figures,Soundness-correctness(TNF)
"Because of this concern, I believe the results in the paper can only really characterize the learning close to convergence, since the network is already able to provide correct classification.",Replicability(MET_EXP)
Limited impact of results,Motivation-impact(RES)
"Because of this concern, I believe the results in the paper can only really characterize the learning close to convergence, since the network is already able to provide correct classification.",Replicability(OAL)
Lack of ablation on different datasets/ sizes,Substance(MET_DAT_EXP)
Need more experimental results,Substance(RES_EXP)
Lack of experiments,Substance(RWK_EXP)
Unclear problem definition,Clarity(PDI)
"Perhaps I missed it, but I believe Dan Ciresan's paper ""Multi-Column Deep Neural Networks for Image Classification"" should be cited.",Meaningful-comparison(MET_TNF)
Need more interesting problem definition,Substance(PDI)
"Incomprehensible tables and figures (what is the point of the plot, no decription of figure in main text, etc)",Substance(TNF)
Missing baselines,Meaningful-comparison(RWK)
design choices are questionable,Soundness-correctness(EXP)
Unclear intro (eg. contributions),Clarity(INT)
"Lack of discussion on datasets (size, motivation for use, etc)",Clarity(DAT)
Results are more or less similar to baselines,Substance(RWK_RES)
"In terms of evaluation, the authors only presented a few qualitative results on simple datasets, which is not comprehensive and convincing.",Substance(DAT_RES)
Not enough info on dataset and hyper-parameters,Replicability(DAT_EXP)
"While sensible, this seems to me to be too minor a contribution to stand alone as a paper.",Motivation-impact(OAL)
Incorrect citation,Meaningful-comparison(BIB)
"Improper Structuring of experimental results on paper (as in on some page, before some section)",Clarity(RES_EXP)
1. The presentation is somewhat convoluted.,Soundness-correctness(OAL)
-The experimental section do not clarify the benefits of the proposed approach.,Clarity(MET_EXP)
Reproducibility of result,Replicability(ANA)
"The main reason is that from the narration, I cannot figure out what is the idea or technique of other works and what is the contribution of this paper.",Originality(PDI)
"Missing literature review (some literature not included, misses baseline citations, etc)",Other(RWK)
"[-] The combination of VAEs and GANs, while new for videos, had already been proposed for image generation as indicated in the Related Work section and its formulation for video prediction is relatively straightforward given existing VAE (Denton & Fergus 2018) and GAN models (Tulyakov et al. 2018).",Other(MET_RWK)
Also experiment figures are extremely compact. Try using log scale or other lines to make the gaps wider.,Other(TNF)
I’m also confused by the presentation of the results.,Other(RES)
"hence, there is no connection between the theoretical results on MDL generalization bound and the proposed method MULANN.",Other(MET_RES)
"Some of the experiments (eg. comparisons involving ShakeShake and ScheduledDropPath, Section 5.2) could also be moved to the appendix in order to make room for a description of LEMONADE in the main paper.",Other(EXP)
"With regard to my first negative point above about the lack of discussions, it seems the analysis of Section 4 is disproportionate compared to other places.",Other(ANA)
"- My main concern about the analysis is that it shows why several methods (e.g., momentum, multiple update steps) are *not* helpful for stabilising GANs, but does not tell why training with these methods, as well as others such as gradient penalty, *do converge* in practice with properly chosen hyper-parameters?",Clarity(MET_ANA)
If I were to go through the computation of then why not just train a smaller version of that representation technique instead and **directly** see how well it can encode data in k dimensions via that technique / for that task?,Clarity(MET_DAT_EXP)
9. It is not clear that baseline 1 and 2 correspond to which baselines in later experiments.,Clarity(RWK_EXP)
- It is unclear why the results on WikiSQL is presented in Appendix. Combining the results on both datasets in the experiments section would be more convincing.,Clarity(DAT_RES_EXP)
"As pointed out by R2, with depth there are a lot more number of possible ways in which one could carve out decision boundaries to separate data points, thus, it is not clear that the loose linear upper bound holds Specifically, as one might expect with depth it could be possible that linear capacity increase is a lower bound (I am not suggesting that it is, but that possibility should be considered and explained in the paper).",Clarity(MET_DAT)
"However, since quantitative exploration of large real-world datasets may be challenging and expensive to collect, the synthetic experiments could have been more detailed.",Clarity(DAT_EXP)
