sentence,index,review_action,fine_review_action,aspect,target
"How are the lambda and threshold parameters tuned? The authors mention a validation set, are they just exhaustively explored on a 3D grid on the validation set?",,arg_request,arg-request_explanation,asp_replicability,0
"The results only compare with Shim et al. Why only this method? Why would it be expected to be faster than all the other alternatives? Wouldn't similar alternatives like the sparsely gated MoE, D-softmax and adaptive-softmax have chances of being faster?",,arg_request,arg-request_explanation,asp_soundness-correctness,0
"""Sparse Mixture of Sparse of Sparse Experts""",,arg_request,arg-request_edit,asp_clarity,1
"""if we only search right answer""",,arg_request,arg-request_edit,asp_clarity,1
"""it might also like appear""",,arg_request,arg-request_edit,asp_clarity,1
"""which is to design to choose the right""",,arg_request,arg-request_edit,asp_clarity,1
sparsly,,arg_request,arg-request_edit,asp_clarity,1
"""will only consists partial""",,arg_request,arg-request_edit,asp_clarity,1
"""with γ is a lasso threshold""",,arg_request,arg-request_edit,asp_clarity,1
"""an arbitrarily distance function""",,arg_request,arg-request_edit,asp_clarity,1
"""each 10 sub classes are belonged to one""",,arg_request,arg-request_edit,asp_clarity,1
"""is also needed to tune to achieve""",,arg_request,arg-request_edit,asp_clarity,1
I believe that the presentation of the proposed method can be significantly improved.,,arg_request,arg-request_edit,asp_clarity,1
"For example, in Sections 4 and 5 I was hoping to see comparisons to methods like MAML.",,arg_request,arg-request_experiment,asp_meaningful-comparison,2
"Also, I felt that the proposed approach in Section 5 is very similar to MAML intuitively. This makes a comparison with MAML even more desirable.",,arg_request,arg-request_experiment,asp_meaningful-comparison,2
"Also, this work would benefit significantly from a better experimental evaluation.",,arg_request,arg-request_experiment,asp_substance,2
It may be worth adding a short discussion/comparison to that work as it also considers zero-shot learning.,,arg_request,arg-request_experiment,asp_meaningful-comparison,2
"- Capitalize: “section” -> “Section”, “appendix” -> “Appendix”, “fig.” -> “Figure”.",,arg_request,arg-request_typo,asp_clarity,3
- “Hold-out” vs “held-out”,,arg_request,arg-request_typo,asp_clarity,3
Be consistent and use “held-out” throughout.,,arg_request,arg-request_edit,asp_clarity,1
"It would also be great if the paper could related to other existing work that uses Bayesian neural networks in an active learning setting such as Bayesian optimization [3, 4] or Bandits[5].",,arg_request,arg-request_experiment,asp_meaningful-comparison,2
"1) Besides an comparison to the work by Lakshminarayanan et. al, I would also like to have seen a comparison to other existing Bayesian neural network approaches such as stochastic gradient Markov-Chain Monte-Carlo methods.",,arg_request,arg-request_experiment,asp_meaningful-comparison,2
"2) To provide a better understanding of the paper, it would also be interesting to see how sensitive it is with respect to the ensemble size M.",,arg_request,arg-request_experiment,asp_soundness-correctness,2
"4) Figure 3: Are the results averaged over multiple independent runs? If so, how many runs did you perform and could you also report confidence intervals? Since all methods are close to each other, it is hard to estimate how significant the difference is.",,arg_request,arg-request_explanation,asp_clarity,0
"- Pg. 5, Section 3.4: ""...this is would achieve...""",,arg_request,arg-request_typo,asp_substance,3
"- Pg. 6: ...thedse value of 90...""",,arg_request,arg-request_typo,asp_substance,3
I would appreciate if the authors can survey and compare more baselines in their paper instead of listing some basic ones.,,arg_request,arg-request_experiment,asp_meaningful-comparison,2
"2.1 Baselines: For noisy labels, the authors should add MentorNet [1] as a baseline https://github.com/google/mentornet From my own experience, this baseline is very strong.",,arg_request,arg-request_experiment,asp_meaningful-comparison,2
"At the same time, they should compare with VAT [7].",,arg_request,arg-request_experiment,asp_meaningful-comparison,2
"For adversarial attacks, the author should compare with data type from [10], and list L-FBGS [11] as a basic baseline.",,arg_request,arg-request_experiment,asp_meaningful-comparison,2
"2.2 Datasets: For datasets, I think the author should first compare their methods on symmetric and aysmmetric noisy data.",,arg_request,arg-request_experiment,asp_substance,2
The authors are encouraged to conduct 1 NLP dataset.,,arg_request,arg-request_experiment,asp_substance,2
"The authors acknowledge this connection, but I think they should begin by introducing CE and then explain how Cakewalk generalizes it.",,arg_request,arg-request_edit,asp_meaningful-comparison,1
Is there any explanation for this?,,arg_request,arg-request_explanation,asp_soundness-correctness,0
"4. How were the hyperparameters (learning rate, AdaGrad $\delta$, Adam $\beta_1, \beta_2$) chosen?",,arg_request,arg-request_clarification,asp_replicability,4
I would suggest tuning these values for each method independently.,,arg_request,arg-request_experiment,asp_soundness-correctness,2
5. It would be nice to see experimental results on more than one problem.,,arg_request,arg-request_experiment,asp_substance,2
"The reason for this is only given in a single sentence at the end of Section 6, so it is a little confusing.",,arg_request,arg-request_explanation,asp_soundness-correctness,0
I would replace these values with N/A or something similar.,,arg_request,arg-request_edit,asp_soundness-correctness,1
"We should see the performance on other datasets  (e.g., some of the other datasets in Wu et al. (2018)).",,arg_request,arg-request_experiment,asp_meaningful-comparison,2
My introduction suggestion: do not talk about Convolutional neural networks (CNNs). There is a *lot* of work on graph convolutional networks (GCNs).,,arg_request,arg-request_edit,asp_meaningful-comparison,1
"- I don't understand why the authors say that their space ""interpolates smoothly"" just because the limit in the curvature is the same from the left and right side.",,arg_request,arg-request_explanation,asp_soundness-correctness,0
"For example, the absolute value function has the same limit from the left and the right at 0, but it's not differentiable there. Is it actually true that if we take the derivatives of the piecewise hyperbolic/spherical distance function that it's differentiable at c=0?",,arg_request,arg-request_explanation,asp_soundness-correctness,0
I do recommend that the authors compare against those results in a future update of this work.,,arg_request,arg-request_experiment,asp_substance,2
You probably have to limit the operation to a half-sphere (there's some ideas for this in Gu et al).,,arg_request,arg-request_edit,asp_soundness-correctness,1
"- For the synthetic tree, why is the number of edges 2(|V|-1) rather than |V|-1?",,arg_request,arg-request_explanation,asp_soundness-correctness,0
- Are the curvatures the same for each layer for the GCNs?,,arg_request,arg-request_clarification,asp_clarity,4
This is an interesting point to discuss (some of the NeurIPS papers I mentioned train the curvature for each layer).,,arg_request,arg-request_experiment,asp_substance,2
"Also, how do you select the number of factors of each type?",,arg_request,arg-request_clarification,asp_soundness-correctness,4
"The ""De Sa"" et al 2018 arxiv citation is really Sala et al and is an ICML '18 paper.",,arg_request,arg-request_typo,asp_soundness-correctness,3
"Similarly, Gulcehre et al is a 2019 ICLR paper, and so on. It's always good to get these right.",,arg_request,arg-request_typo,asp_soundness-correctness,3
- Is there any actual empirical importance from recovering the Euclidean case exactly for 0 curvature?,,arg_request,arg-request_explanation,asp_soundness-correctness,0
"- One useful thing to point out in B.3.3 is that in general, it need not be a diffeomorphism for all of M for any manifold, which leads to non-uniqueness.",,arg_request,arg-request_edit,asp_soundness-correctness,1
The authors need to describe in detail the algorithmic novelty of their work.,,arg_request,arg-request_edit,asp_originality,1
The definition of “recovering true factor exactly” need to be given.,,arg_request,arg-request_edit,asp_soundness-correctness,1
"Therefore, an appropriate choice of their values need to be given.",,arg_request,arg-request_edit,asp_replicability,1
"In the algorithm, the authors need to define the HT function in (3) and (4).",,arg_request,arg-request_edit,asp_clarity,1
"There are some typos that can be easily found, such as “of the out algorithm”.",,arg_request,arg-request_typo,asp_clarity,3
My main concern about this paper is why this algorithm has a better performance than CW attack?,,arg_request,arg-request_explanation,asp_meaningful-comparison,0
It would be nice to have some more intuitive explanations at least of Theorem 1.,,arg_request,arg-request_edit,asp_substance,1
"Also, it is clear in the experiments the superiority with respect to Arora in terms of iterations (and error), but what about computational time?",,arg_request,arg-request_clarification,asp_meaningful-comparison,4
"However, it is not clear to me that these are some novel results that can better help adversarial training.",,arg_request,arg-request_explanation,asp_substance,0
