sentence,aspect,theme,description
"With regard to my first negative point above about the lack of discussions, it seems the analysis of Section 4 is disproportionate compared to other places.",arg_other,ANA,"With regard to my first negative point above about the lack of discussions, it seems the analysis of Section 4 is disproportionate compared to other places."
The cited paper 'Learning an adaptive learning rate schedule' does not appear online.,arg_other,BIB,Missing citations in the paper
The above papers are not cited in this paper.,arg_other,BIB,Missing citations in the paper
Missing references - authors may want to consider citing https://arxiv.org/abs/1906.06187 as well in Sec. 2 - it seems very related to this work.,arg_other,BIB,Missing citations in the paper
"Some of the experiments (eg. comparisons involving ShakeShake and ScheduledDropPath, Section 5.2) could also be moved to the appendix in order to make room for a description of LEMONADE in the main paper.",arg_other,EXP,"Some of the experiments (eg. comparisons involving ShakeShake and ScheduledDropPath, Section 5.2) could also be moved to the appendix in order to make room for a description of LEMONADE in the main paper."
"However, you are in a different computational model in which you now have access to an oracle.",arg_other,MET,Theoretical misunderstanding in methodology
- offers minimal (but some) evidence that curiosity-based reward works in more realistic settings,arg_other,MET,Theoretical misunderstanding in methodology
"As a result, constraining the model will alter the mutual information and I think the effect of this should be remarked on.",arg_other,MET,Theoretical misunderstanding in methodology
"In terms of modeling, since the input into the prior network has finite possible discrete values, we do not need a fully connected network to generate $\hat{\mu}_c$ and $\hat{\sigma}_c$. Instead, we can directly optimize $\hat{\mu}_c$ and $\hat{\sigma}_c$ for each $c$ as parameters.",arg_other,MET,Theoretical misunderstanding in methodology
The theory tells the same as in case 2 above but with an additional price of optimizing a different function.,arg_other,MET,Theoretical misunderstanding in methodology
"For example, the original GNN, ChebNet, etc. that leads to GCN can be mentioned.",arg_other,MET,Theoretical misunderstanding in methodology
"- The notion of divergence D(P|G) is not made concrete in section 3 and 3.1, which makes the notation of rather little use.",arg_other,MET,Theoretical misunderstanding in methodology
What are the differences to your approach?,arg_other,MET,Theoretical misunderstanding in methodology
Meanwhile the actual method used in the paper is hidden in Appendices A.1.1-A.2.,arg_other,MET,Theoretical misunderstanding in methodology
"Finally, could you give a more accurate citation (chapter-page number) for the single-channel version of Theorem 2.?",arg_other,MET,Theoretical misunderstanding in methodology
"Also, try using the consistent dimension for x throughout the paper, it confuses the reader.",arg_other,MET,Theoretical misunderstanding in methodology
"hence, there is no connection between the theoretical results on MDL generalization bound and the proposed method MULANN.",arg_other,MET_RES,"hence, there is no connection between the theoretical results on MDL generalization bound and the proposed method MULANN."
"[-] The combination of VAEs and GANs, while new for videos, had already been proposed for image generation as indicated in the Related Work section and its formulation for video prediction is relatively straightforward given existing VAE (Denton & Fergus 2018) and GAN models (Tulyakov et al. 2018).",arg_other,MET_RWK,"[-] The combination of VAEs and GANs, while new for videos, had already been proposed for image generation as indicated in the Related Work section and its formulation for video prediction is relatively straightforward given existing VAE (Denton & Fergus 2018) and GAN models (Tulyakov et al. 2018)."
"Based on the summary, cons, and pros, the current rating I am giving now is weak reject. I would like to discuss the final rating with other reviewers, ACs.",arg_other,OAL,"Reasons for rejection (not fit for conference, contains several weaknesses, etc.)"
"In summary, I'm inclined to reject this paper given the current version.",arg_other,OAL,"Reasons for rejection (not fit for conference, contains several weaknesses, etc.)"
There are a few grammatical/spelling errors that need ironing out.,arg_other,OAL,"Reasons for rejection (not fit for conference, contains several weaknesses, etc.)"
"I believe that the paper should currently be rejected, but I encourage the authors to revise the paper.",arg_other,OAL,"Reasons for rejection (not fit for conference, contains several weaknesses, etc.)"
There are several weaknesses in this paper.,arg_other,OAL,"Reasons for rejection (not fit for conference, contains several weaknesses, etc.)"
"Nevertheless, I believe that it still has to address some points in order to be better suited for publication:",arg_other,OAL,"Reasons for rejection (not fit for conference, contains several weaknesses, etc.)"
I vote for rejection for four major weaknesses explained as follows.,arg_other,OAL,"Reasons for rejection (not fit for conference, contains several weaknesses, etc.)"
"4) There are several typos/grammar issues e.g. ""believed to occurs"", ""important parameters sections"", ""capacity that if efficiently allocated"", etc.).",arg_other,OAL,"Reasons for rejection (not fit for conference, contains several weaknesses, etc.)"
- The paper is over the hard page limit for ICLR so needs to be edit to reduce the length.,arg_other,OAL,"Reasons for rejection (not fit for conference, contains several weaknesses, etc.)"
"I vote to reject the paper at this stage, mainly because of the following three points:",arg_other,OAL,"Reasons for rejection (not fit for conference, contains several weaknesses, etc.)"
The paper would need to be improved substantially in order to appear at a conference like ICLR.,arg_other,OAL,"Reasons for rejection (not fit for conference, contains several weaknesses, etc.)"
I do not think this work is ready for publication.,arg_other,OAL,"Reasons for rejection (not fit for conference, contains several weaknesses, etc.)"
I think the paper does not fit this conference. It is better to be presented in a Demonstration section at a *ACL conference.,arg_other,OAL,"Reasons for rejection (not fit for conference, contains several weaknesses, etc.)"
"Overall, I feel that this paper falls short of what it promises, so I cannot recommend acceptance at this time.",arg_other,OAL,"Reasons for rejection (not fit for conference, contains several weaknesses, etc.)"
"* The paper is almost 9 pages long, but the contribution does not appear more substantial than a standard 8-page submission.",arg_other,OAL,"Reasons for rejection (not fit for conference, contains several weaknesses, etc.)"
I’m also confused by the presentation of the results.,arg_other,RES,I’m also confused by the presentation of the results.
"5. lack of related work:  4D Spatio-Temporal ConvNets: Minkowski Convolutional Neural Networks, CVPR 2019.",arg_other,RWK,"Missing literature review (some literature not included, misses baseline citations, etc)"
2. Missed citation: MnasNet [2] also incorporates the cost of architectures in their search process.,arg_other,RWK,"Missing literature review (some literature not included, misses baseline citations, etc)"
The paper also misses relevant citations of similar questions from the field of (probabilistic) matrix factorization and relational learning.,arg_other,RWK,"Missing literature review (some literature not included, misses baseline citations, etc)"
(3) A large body of graph neural network literature is omitted.,arg_other,RWK,"Missing literature review (some literature not included, misses baseline citations, etc)"
"The reviewer recommends the authors to read some literature review of the topic of GCN and re-organize the references, and use search engines to have a better view on the state of the art of (hyperbolic) geometric theories and graph convolutional networks.",arg_other,RWK,"Missing literature review (some literature not included, misses baseline citations, etc)"
This is a thriving area that requires a careful literature review.,arg_other,RWK,"Missing literature review (some literature not included, misses baseline citations, etc)"
"2) Related work, although extensive in terms of the number of references, do not help to place this work in the literature.",arg_other,RWK,"Missing literature review (some literature not included, misses baseline citations, etc)"
Listing related work is no the same as describing similarities and differences compared to previous methods.,arg_other,RWK,"Missing literature review (some literature not included, misses baseline citations, etc)"
