Attitude_roots,Frequency,Descriptions,Comments
Substance(MET),1.0,Incomplete details on perfromance of the method,"[['Reviewer 39tB', ['1. It seems that part of the techniques is from previous results, such as the bonus function oracle. It will be helpful if there is a section discussing technical novelty.', '2. It seems that the setting is closely related to low switching RL and RL with delayed feedback. It will be interesting if the authors could briefly discuss about the connections.']], ['Reviewer 56ui', ['What if there are more than one agents are to be activated instead of just having one agent at each time t?', 'How is an agent chosen to be activated in Line 5 of both Algorithm 1 and 2?']], ['Reviewer HvUo', ['As far as I know, MARL often adopts the Centralized Training Decentralized Execution(CTDE) framework to avoid the action space growing exponentially with the number of users. However, it is unclear whether the proposed scenario follows ""decentralized execution"". Agents are supposed to execute based on partial observations in a decentralized manner, but the proposed approach appears to involve a central server consistently during execution. If the proposed scenario is inconsistent with CTDE, I would be interested to hear from the authors what the distinct advantages or necessity of this scenario is.']], ['Reviewer 56ui', ['I think the major concern is non-optimal complexity bounds. Although it seems unreasonable to ask for a matching upper\\&lower regret bound for the contextual bandit problem, the part about RL could be possibly improved (at least, the dependence on $H$ is not tight). Also I am curious that what is the current best lower bound for the communication cost to reach an $\\sqrt{T}$ regret bound. It would be an interesting problem to study the exact trade-off between the communication cost and regret.']]]"
Clarity(MET),0.75,Unclear description of method,"[['Reviewer 39tB', ['3. For the communication complexity bound in theorem 5.1, should it be $/\\alpha$ instead of $\\alpha$? In addition, why not choose $\\alpha=1/M$ in both theorems? In this way, the communication cost can be improved. (Please correct me if I misunderstood anything) 4. Line ?? in line 214 of page 6. Please correct it.']], ['Reviewer 56ui', ['The clarity of some of the important quantities are not well defined or explained. For example, 1) In the sample complexity result of Theorem 4.3, $\\tilde{\\beta}_1$ is used. However, it was not defined. It’s unclear what this notation is referring to. Similarly, in Theorem 5.1, $\\tilde{\\beta}_2$ is used.', '2) The oracle for to compute bonus term bk+1,h is crucial in understanding the algorithms. However, it was not very well-explained or shown anywhere in the main paper.', '2) Line 214, ?? -> 12 3) In Line 1 of algorithm 3, $k=[K]$ -> $k\\in [K]$.', '4) In Line 154, the trajectory should be $(s_h, a_h, \\cdots, s_H, a_H)$.', 'What is the oracle to compute the bonus term?', 'What are the terms $\\tilde{\\beta}_1$ and $\\tilde{\\beta}_2$?', 'Please clarify the two sentences from Line 300 to Line 302.']], ['Reviewer HvUo', ['Theorems 4.3 and 5.1: $\\tilde{\\beta}$ is not properly defined in the statement, and $\\beta_t$ should be fixed to $\\tilde{\\beta}$.']]]"
Clarity(OAL),0.5,3. The paper is not nicely written or rather easy to follow.,"[['Reviewer 39tB', ['3) The two sentences from Line 300 to Line 302 are confusing. Please clarify them.']], ['Reviewer 56ui', [""I’m open to revising my score based on the authors' responses.""]]]"
Originality(MET),0.5,Limited novelty in theoretical contribution,"[['Reviewer 39tB', ['While I have studied general value function approximation, I do not have research background in this field for multi-agent scenarios. Therefore, my critique may not have captured the weaknesses of this paper.']], ['Reviewer 56ui', ['A minor concern might be about the technical novelty given previous methods on measuring the uncertainty.']]]"
Clarity(RES),0.25,"Improper explanation of results (as in advantages, why are results better, etc)","[['Reviewer 39tB', ['The clarity of some of the important quantities are not well defined or explained. For example, 1) In the sample complexity result of Theorem 4.3, $\\tilde{\\beta}_1$ is used. However, it was not defined. It’s unclear what this notation is referring to. Similarly, in Theorem 5.1, $\\tilde{\\beta}_2$ is used.']]]"
Motivation-impact(MET),0.25,Limited insights based on design choices,"[['Reviewer 39tB', ['The theoretical foundations and proofs regarding the communication criterion are important and interesting. Also, the trade-off between regret and communication complexity via parameter $\\alpha$ offers valuable insights.']]]"
Clarity(TNF),0.25,"Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)","[['Reviewer 39tB', ['What is the meaning of ""fully asynchronous"" in table 1?']]]"
Motivation-impact(PDI),0.25,Limited contribution in problem definition,"[['Reviewer 39tB', ['1. The problem of asynchronous MARL with general function approximation is interesting and important.']]]"
Motivation-impact(OAL),0.25,"While sensible, this seems to me to be too minor a contribution to stand alone as a paper.","[['Reviewer 39tB', ['This paper is well written and the contribution is solid.']]]"
Originality(RWK),0.25,Incremental novelty of method as compared to related work,"[['Reviewer 39tB', ['A minor concern might be about the technical novelty given previous methods on measuring the uncertainty.']]]"
